platform,review,rating,date,source
Cars24,I had sold my ford ecosport on cars 24 on March 2026 for scrap and they promised me to provide a chassis number of my vehicle in 42 days but after passed 3 months and regular follow ups by me they ar...See more,,2026-07-06T14:18:31.000Z,Trustpilot
Cars24,I brought renault kwid two months back (Booking-HXYJQL). Bhaskar and hardik at kandivili branch are only after loan approval. I got scammed with my car as all promises were made before loan approval....See more,,2026-07-12T11:40:12.000Z,Trustpilot
Cars24,"What a shitty employee they have who don’t even know how to talk to their customers. If you say they are not interested to sell car to Cars24, they immediately become offensive and say that you will...See more",,2026-07-12T08:53:27.000Z,Trustpilot
Cars24,"Was compelled to buy the Pro package to get more prices across India.
Got exactly 0 offers - instead sold on Spinny which was much more organised and persistent in keeping in touch.
Cars24 did refu...See more",3,2026-01-05T11:14:21.000Z,Trustpilot
Cars24,"Bought a car from @Cars24 a few days ago after paying ₹11,000 for their so-called ""full service."" During PDI, multiple issues were discovered. Yesterday the car itself showed a Service Due warning, and today it won't even start. This is unacceptable. Customers trust your inspection and quality checks, but this has been a nightmare from day one. I expect an immediate resolution and accountability. #Cars24 #CustomerExperience #UsedCars #ConsumerRights",,2026-07-14T08:36:07.000Z,Trustpilot
Cars24,"I and a few of my acquaintances have purchased cars from them - their cars are if questionable quality (they say accident free car, but actually the cars are accident damage cars).Also, the documentation, RC transfer, etc. is a hassle - they don’t do these processes themselves easily - no use of complaining to them. You can search and see huge problems mentioned all over social media - it’s a scam company focussing on AI and all their top people have left and only Vikram Chopra is left (probably their founder) and he is busy in creating an AI heavy perception - ground operations, documentation, car quality - it’s all pathetic. Even if you get something here for cheap - don’t make the mistake of purchasing anything from Cars24 - if you don’t believe, just search on social media (Linkedin, etc.) and see what kind of complaints and their responses are there - you will realize that even their social media team is to only just reply to customers with some generic words - but they actually don’t do anything.",,2026-07-14T12:44:48.000Z,Trustpilot
Cars24,"They show only car price on their front page and when you enter the website there is another charges waiting for you, RC transfer file charge, third party insurance, extended warranty 12 month, car servicing charges, I mean why you don't show final price when you want to add from behind, I'm very disappointed 😞☹️",,2026-07-13T19:38:31.000Z,Trustpilot
Cars24,"Hi Himanshu, we're sorry to hear about your experience. We understand your concern regarding the lack of response. We've already shared your case with the relevant team, and they are looking into it on priority. Our team will get in touch with you soon with an update.",,2026-07-13T04:52:06.000Z,Trustpilot
Cars24,"I brought renault kwid two months back (Booking-HXYJQL). Bhaskar and hardik at kandivili branch are only after loan approval. I got scammed with my car as all promises were made before loan approval. After loan approval, they both disappeared. Two months of car being bought and m only paying for maintenance outside and plus things they promised were not completed.  Wrote an email to their customer care but no revert for obvious reasons (to save scammers). Hopefully through this review, i can say to future buyers that plz avoid going to kandivili branch atleast for your car purchase.",,2026-07-12T11:40:12.000Z,Trustpilot
Cars24,"What a shitty employee they have who don’t even know how to talk to their customers. If you say they are not interested to sell car to Cars24, they immediately become offensive and say that you will not get beyond what they are offering.They even generate a credit score summary of yours, which is not even required. And is a security breach of your data.",,2026-07-12T08:53:27.000Z,Trustpilot
