platform,review,rating,date,source
Spinny,good,4,2026-07-16,Google Play
Spinny,Manish Saini,5,2026-07-16,Google Play
Spinny,Don't download this company totally fake as per the app they says you can take the valuation online once you fill it out they send some engineer for value survey took invested 2 and 3 hours and wastage of fuel for inspection and afterward the team starting calling you for the cheapest price better to download cars 24 at least they inspect within 15 minutes without any wastage even they give better price then spinny worst app better to sell it in the market,1,2026-07-16,Google Play
Spinny,don't book any cars in spinny... I have a 808 credit score.. but the finance team is telling me my credit score is low and rejected the booking... and refund not received... they will destroy your peace of mind.. special those finance department idiots... damn hell to spinny...,1,2026-07-16,Google Play
Spinny,nice,5,2026-07-16,Google Play
Spinny,"I am selling my Redigo 2017 they offered 14,000 and if I am buying Redigo 2017 there price is 2 lakh So they are Frauds, they purchased the car in 10% and Sell in 100% And I have Post my Car on OLX there Someone offered me 80,000 So Don't go with Spinny.",1,2026-07-16,Google Play
Spinny,"everything is good, but why no images of sunroof if car have one ?",3,2026-07-16,Google Play
Spinny,Best Price on Old Car and Staff is very supportive and polite,5,2026-07-15,Google Play
Spinny,❤️,5,2026-07-15,Google Play
Spinny,cool 😎,5,2026-07-15,Google Play
Spinny,"don't sell or buy a car, I want to sell a car bmw 2010 in good condition. they are refusing to buy. They are just doing advertisements we will buy or sell the car. after updating all details. without any specific reason refusing.",1,2026-07-15,Google Play
Spinny,ok,5,2026-07-15,Google Play
Spinny,spinny staff also good,5,2026-07-15,Google Play
Spinny,Nice Support & Services,5,2026-07-15,Google Play
Spinny,"""I had a great experience buying my 2017 Maruti Suzuki Vitara Brezza ZDi+ from Spinny. The entire process was smooth, transparent, and hassle-free. The car was exactly as described, well-maintained, and delivered in excellent condition. The documentation and ownership transfer process were handled professionally. The staff was polite, supportive, and answered all my questions patiently. I'm very happy with my purchase and would definitely recommend Spinny to anyone looking for a quality used car",5,2026-07-15,Google Play
Spinny,good 👍,5,2026-07-14,Google Play
Spinny,"awesome service and helpful support staff, seamless experience",5,2026-07-14,Google Play
Spinny,"Exceptional service, trustworthy vehicles, and a seamless buying experience. Highly recommended for anyone looking for reliable cars and outstanding customer support from Spinny👌",5,2026-07-14,Google Play
Spinny,"this was the worst😡👎 app no one can trust this app in this app all are froad,fake and scam bach are there, they can scam every this very bad 👎😡! and I can't give any rating 0/10 plz no one trust this plzz",1,2026-07-14,Google Play
Spinny,pathetic post sales support it has been more than 2 weeks but fastag is not activated and support staff is giving false promises,1,2026-07-14,Google Play
Spinny,feeling good to see spinny.,4,2026-07-14,Google Play
Spinny,best 👌 namaste,5,2026-07-14,Google Play
Spinny,Thanks seems to be great cars,5,2026-07-14,Google Play
Spinny,Good price clarity in process smooth transaction and hassle free instant payment. In two working days everything closed with full satisfaction,4,2026-07-14,Google Play
Spinny,"Spinny india Very disappointing experience. I keep receiving repeated phone calls from your team without any valid reason. They call me every 5–6 minutes, and I receive around 20 calls a day. This is extremely annoying and feels like harassment. I have no interest in your service, so please stop calling me immediately and remove my number from your calling list. Respect customers' privacy and do not contact them repeatedly without their consent. This level of telemarketing is unacceptable.",1,2026-07-14,Google Play
Spinny,okok,5,2026-07-14,Google Play
Spinny,bakwas hai free mein gadi Le Jana Chahte Hain,1,2026-07-14,Google Play
Spinny,"i had an extremely unsatisfactory experience with Spinny. Following a thorough inspection by their executive, I was presented with a price offer that I found unacceptable, especially given that Cars24 had provided a significantly more competitive quote,I communicated this discrepancy to the Spinny team,who then requested the offer details from Cars24, assuring me that their pricing team would endeavor to match it. However, after I provided all the requested information,I received no communicatio",1,2026-07-14,Google Play
Spinny,Tqs for giving a good condition 4 wheeler,5,2026-07-13,Google Play
Spinny,I love spinny,5,2026-07-13,Google Play
