platform,title,review,rating,date,source
Spinny,,Good experience so far a month into buying a second hand car at Spinny. Had initially visited their location for trying out a Polo but ended up trying couple of other cars and found a good Skoda Rapid... See more,,2026-06-23T14:24:19.000Z,Trustpilot
Spinny,,"The transaction was smooth. Right from inspection, reports, follow up and vehicle pickup the process was very good.

One thing to improve is the negotiation process. They initially offered far less... See more",,2026-06-25T12:16:44.000Z,Trustpilot
Spinny,,"Abhishek tried his level best for my problem resolution. He also put in extra efforts to get my window switched repaired free of cost.

However I'm not at all satisfied with the workshop team. It se... See more",,2026-04-21T04:40:19.000Z,Trustpilot
Spinny,,"The customer service provided by Monika from Spinny team was good, as she helped us in resolving the issues due to some faults happened by Spinny when they sold us the car. Though the solution was no... See more",,2026-04-28T10:48:04.000Z,Trustpilot
Spinny,Very disappointing experience,"Very disappointing experience with Spinny. Buying the car was smooth because the sales team was very supportive, but the real struggle started after delivery. Every time I contact customer support, I get the same response: “A ticket has been raised. Please wait.” Nothing gets resolved unless I keep chasing them for days. Their after-sales service is extremely poor, with no accountability or timely updates. I expected much better from a company like Spinny. I would not recommend buying a car from them if you expect reliable customer support after the purchase.",,2026-07-17T15:31:45.000Z,Trustpilot
Spinny,"Dear Monika,","Thank you, Spinny, for listening to my concern and working towards a satisfactory resolution. The support stayed responsive and connected until everything was fully sorted out. Really appreciate the effort shown throughout. Special, thanks Dear Monika Pundhir, Thank you so much for your guidance, patience, and continuous support throughout the entire process. I truly appreciate the way you responded to all my queries, kept following up on my case, and ensured that my reimbursement was processed as quickly as possible. Your professionalism, dedication, and genuine willingness to help made a huge difference, and I am sincerely grateful for everything you have done. I feel truly blessed and fortunate to have connected with you. People like you are the reason customers trust Spinny and have such a positive experience. Thank you once again for your kindness, support, and excellent service. I wish you all the very best for your future. May you continue to achieve great success and always keep spreading positivity through your work. Take care, and God bless you.",,2026-07-15T11:41:07.000Z,Trustpilot
Spinny,Big let down on transparency and trust,"Went to see few used cars at Spinny Gaur City mall Ghaziabad 2 days back.  I was astonished to see that car report given on spinny app for customers does not match with reports at spinny staff tablet that they use. Came across 3 such car reports - Slavia, Taigun and Verna. In all 3 reports...external damages and repair to the cars were far less reported on customer app where as in spinny staff tablet such incidents were much higher....Similar gaps of problem reporting were seen on mechanical items also such as brake system etc.... This clearly shows that not everything is transparent  and every walk-in customer should keep his ears and eyes open and not to trust spinny blind folded just because they have Sachin Tendulkar as their brand ambassador. Total eye wash.",,2026-07-14T19:31:53.000Z,Trustpilot
Spinny,I have purchased a car on 26 Apr 2026…,"I have purchased a car on 26 Apr 2026 and now my car is broke down, since two days they are just calling but not providing the solution and not sending the engineer to check my car issue...my car is not working it is having multiple issues and they are not taking this seriously. I want to connect witn the senior management, these guys are wasting my time. From last two days i am not going to office as they told that they are sending engineer but nobody come till now...i want immediate attention to this matter.",,2026-07-14T11:13:59.000Z,Trustpilot
Spinny,This company run by bunch of unprofessionals,"This company run by bunch of unprofessional people . Stay away from these people who are rude , unprofessional and they just work under some kind of pressure which lead them to commit the promises what they cant fulfill. The chain of command is also not reliable one as every employee is blaming another for the delay. Bottom line Stay Away from these organized unqualified people who are selling the cars",1,2026-07-13T14:22:16.000Z,Trustpilot
Spinny,I had a very disappointing experience…,"I had a very disappointing experience with Spinny. I listed my car on OLX for ₹2 lakh. After that, I received a call from Spinny saying the final price could vary by around ₹20,000–30,000, which was completely reasonable. Their mechanic inspected my car for almost 40–50 minutes and even gave it good ratings. But when it came to the final offer, the sales representative completely changed his attitude. Instead of explaining the valuation professionally, he started insulting my car on the call, saying it was ""finished"" and had no value at all. When I politely refused their offer, he started laughing sarcastically at me. That level of unprofessional behavior is completely unacceptable. I know the value of my car. If Spinny cannot offer the price I'm expecting, that's absolutely fine. But the least they can do is treat customers with basic respect instead of trying to demotivate them into accepting a lowball offer. Strongly not recommended. If you're planning to get your car valued by Spinny, be prepared for psychological tactics and disrespectful sales behavior aimed at making you feel your car is worth far less than it actually is.",,2026-07-13T14:02:29.000Z,Trustpilot
Spinny,Spinny Used Car Experience: 8–10 Days in Workshop in First 26 Days,"I purchased a 2021 Hyundai Verna from Spinny on 17 June 2026. In just 26 days, the car spent 8–10 days in the workshop due to multiple electrical/body-control issues. Problems faced: Battery/starting failure – car would not start and needed roadside assistance with a jump start within 6 days of delivery. Boot/trunk release failure – external button stopped working; trunk could only be opened via the cabin release lever. Trunk latch sensor fault – “trunk open” warning appeared on the instrument cluster even when the boot was closed. Driver door lock switch failure – central locking button becomes non–functional. ORVM fold/unfold switch failure – power-folding mirrors stopped operating. Unsettled Challans Previous fastag was not deactivated What is most concerning is that these issues appeared immediately after the 5-day money-back period expired. A short return window means little if underlying electrical faults surface during normal usage. I request Spinny senior management to review this case seriously. I am spending more time coordinating repairs than driving the car. Prospective buyers should insist on a thorough pre-purchase inspection, verify electrical system health, and carefully assess after-sales support before buying a used car and can also consider others line Cars24, First  Choice etc.",,2026-07-13T10:34:15.000Z,Trustpilot
Spinny,I have sold my vehicle to spinny on…,I have sold my vehicle to spinny on june 2025 and till date I am suffering to get my Registration Certificate to be transferred from my name to the person to whom my vehicle has been sold. I have called them multiple times but did not receive any positive response from them. Forget about the response they don’t even care to call back. Once your car has been sold to them you will not be having any contact details of the person to whom you speak directly if you have any query regarding your sold vehicle. They just have a customer care number which never direct you towards the customer care executive. Guys please never deal with spinny. I am suffering a lot because of Spinny.,1,2026-07-12T12:03:25.000Z,Trustpilot
Spinny,Spinny Failed to Deliver,"Hi Varun, we're sorry to hear about your experience and understand your disappointment with the delay. As discussed, the required NOC process has already been initiated, and the remaining formalities are being closely tracked from our end. Please be assured that our Seller Protection Policy remains in place to support you throughout the post-sale process, and we'll continue to keep you updated until the RC transfer is completed. Squad Spinny",1,2026-07-09T03:43:21.000Z,Trustpilot
